Target (x, y, z) -> Joint Angles (theta1, theta2, theta3, theta4, theta5)
[-1.92, -0.83, 1.97] -> [-156.62, -0.59, 129.07, -129.07, 0.00]
[-0.65, -1.75, 0.85] -> [-110.38, -51.25, 86.69, -86.69, 0.00]
[-0.58, -1.36, -0.75] -> [-113.10, -76.24, 127.14, -127.14, 0.00]
[-0.53, 0.95, 0.59] -> [119.16, -91.31, 38.69, -38.69, 0.00]
[1.23, 0.3, 1.67] -> [13.71, -34.32, 55.58, -55.58, 0.00]
[0.24, 1.02, -0.39] -> [76.76, -104.65, 76.68, -76.68, 0.00]
[-0.78, 0.22, -0.93] -> [164.25, -104.41, 105.62, -105.62, 0.00]
[1.27, 1.19, -0.05] -> [43.14, -71.08, 100.05, -100.05, 0.00]
[1.94, -1.3, 0.53] -> [-33.83, -31.15, 140.46, -140.46, 0.00]
[1.63, 1.3, 0.94] -> [38.57, -39.19, 104.91, -104.91, 0.00]
[1.27, 0.35, -0.07] -> [15.41, -92.32, 73.54, -73.54, 0.00]
[0.74, -1.93, 0.52] -> [-69.02, -48.88, 108.39, -108.39, 0.00]
[-0.16, 1.08, 1.37] -> [98.43, -52.23, 38.10, -38.10, 0.00]
[-1.39, -0.22, 1.74] -> [-171.01, -29.24, 66.05, -66.05, 0.00]
[-0.76, -0.8, 1.17] -> [-133.53, -63.29, 35.91, -35.91, 0.00]
[0.77, -1.94, 0.1] -> [-68.35, -50.89, 124.87, -124.87, 0.00]
[0.06, -1.17, 1.14] -> [-87.06, -63.31, 39.75, -39.75, 0.00]
[-0.42, 1.12, 0.13] -> [110.56, -96.72, 58.62, -58.62, 0.00]
[1.35, -0.69, -0.88] -> [-27.07, -67.86, 146.50, -146.50, 0.00]
[-0.14, 0.88, 1.65] -> [99.04, -36.34, 35.09, -35.09, 0.00]
[0.64, -0.83, 1.95] -> [-52.36, -20.60, 54.42, -54.42, 0.00]
[-1.43, -0.75, 0.07] -> [-152.32, -76.96, 85.95, -85.95, 0.00]
[1.71, 0.05, 1.25] -> [1.67, -43.77, 75.82, -75.82, 0.00]
[1.51, 1.69, -0.05] -> [48.22, -27.58, 174.55, -174.55, 0.00]
[0.87, 1.77, 1.1] -> [63.82, -39.59, 95.02, -95.02, 0.00]
[0.28, -1.27, -0.61] -> [-77.57, -89.37, 103.41, -103.41, 0.00]
[-0.99, -0.1, 0.85] -> [-174.23, -83.91, 29.33, -29.33, 0.00]
[-0.48, 1.84, 0.48] -> [104.62, -57.93, 94.73, -94.73, 0.00]
[0.07, 1.32, 1.02] -> [86.96, -64.87, 48.54, -48.54, 0.00]
[0.26, -1.27, -0.31] -> [-78.43, -93.12, 84.36, -84.36, 0.00]
[-1.37, 0.27, -0.55] -> [168.85, -85.51, 104.95, -104.95, 0.00]
[-0.54, -1.66, 1.63] -> [-108.02, -27.47, 85.36, -85.36, 0.00]
[-1.5, -0.43, 1.86] -> [-164.00, -21.28, 79.71, -79.71, 0.00]
[-1.58, -1.57, 1.6] -> [-135.18, -10.32, 129.22, -129.22, 0.00]
[-1.98, 0.7, 0.4] -> [160.53, -48.59, 114.72, -114.72, 0.00]
[-0.48, -0.45, 0.79] -> [-136.85, -102.23, 10.94, -10.94, 0.00]
[1.18, 0.89, 1.54] -> [37.02, -37.47, 64.93, -64.93, 0.00]
[-1.07, 1.23, -0.76] -> [131.02, -65.47, 143.43, -143.43, 0.00]
[-1.49, 0.84, 0.7] -> [150.59, -61.76, 76.38, -76.38, 0.00]
[-1.24, -0.19, 0.11] -> [-171.29, -94.09, 62.54, -62.54, 0.00]
[0.05, 1.01, -0.76] -> [87.17, -100.22, 99.80, -99.80, 0.00]
[0.18, 1.27, -0.07] -> [81.93, -94.02, 71.63, -71.63, 0.00]
[-0.34, -1.92, 1.49] -> [-100.04, -26.85, 98.09, -98.09, 0.00]
[0.89, -0.94, 0.33] -> [-46.57, -88.76, 57.21, -57.21, 0.00]
[-0.8, -0.93, 0.28] -> [-130.70, -92.94, 54.93, -54.93, 0.00]
[-1.5, 0.77, 0.94] -> [152.83, -55.63, 72.82, -72.82, 0.00]
[0.57, 0.11, 0.42] -> [10.92, -125.75, 18.45, -18.45, 0.00]
[-0.25, 0.66, -0.16] -> [110.75, -123.28, 50.80, -50.80, 0.00]
[-0.32, 0.45, 1.38] -> [125.42, -50.58, 9.77, -9.77, 0.00]
[0.89, -1.44, -0.2] -> [-58.28, -73.38, 103.91, -103.91, 0.00]
[0.25, 0.12, 0.53] -> [25.64, -148.15, 2.62, -2.62, 0.00]
[-0.43, 1.85, 1.06] -> [103.09, -43.75, 88.88, -88.88, 0.00]
[-1.76, -0.21, -0.29] -> [-173.20, -68.26, 115.58, -115.58, 0.00]
[-0.14, -1.16, -0.06] -> [-96.88, -99.61, 65.20, -65.20, 0.00]
[0.66, 1.39, 0.39] -> [64.60, -76.34, 70.57, -70.57, 0.00]
[-0.24, 0.97, 1.47] -> [103.90, -47.22, 35.17, -35.17, 0.00]
[0.88, 1.77, 0.46] -> [63.56, -54.51, 101.53, -101.53, 0.00]
[-1.9, 0.81, 0.81] -> [156.91, -43.34, 103.83, -103.83, 0.00]
[-1.31, 0.41, 0.25] -> [162.62, -86.50, 64.29, -64.29, 0.00]
[1.72, -0.86, -0.44] -> [-26.57, -54.80, 144.06, -144.06, 0.00]
[0.54, -0.37, -1.07] -> [-34.42, -105.78, 113.34, -113.34, 0.00]
[1.41, -0.13, 1.67] -> [-5.27, -32.45, 64.45, -64.45, 0.00]
[-1.88, 1.35, 1.13] -> [144.32, -21.41, 130.76, -130.76, 0.00]
[-0.63, -0.21, 1.54] -> [-161.57, -40.63, 20.50, -20.50, 0.00]
[-1.62, 1.27, 0.62] -> [141.91, -47.65, 105.62, -105.62, 0.00]
[1.37, 1.48, -0.46] -> [47.21, -41.70, 168.40, -168.40, 0.00]
[-0.12, -1.47, 0.3] -> [-94.67, -80.90, 68.98, -68.98, 0.00]
[-1.99, -1.16, 0.89] -> [-149.76, -28.18, 129.12, -129.12, 0.00]
[0.25, 0.33, 1.36] -> [52.85, -47.60, 2.79, -2.79, 0.00]
[-1.35, 0.21, 1.9] -> [171.16, -22.01, 69.22, -69.22, 0.00]
[0.82, -1.59, 1.81] -> [-62.72, -18.59, 94.09, -94.09, 0.00]
[1.91, 0.5, -0.23] -> [14.67, -55.99, 131.87, -131.87, 0.00]
[1.21, -0.01, 1.85] -> [-0.47, -25.61, 58.60, -58.60, 0.00]
[0.52, 1.77, 0.27] -> [73.63, -63.69, 95.80, -95.80, 0.00]
[0.51, -1.77, 0.38] -> [-73.93, -62.40, 92.40, -92.40, 0.00]
[-0.24, -1.47, -0.12] -> [-99.27, -83.96, 85.97, -85.97, 0.00]
[-0.18, 1.81, 0.44] -> [95.68, -62.56, 89.11, -89.11, 0.00]
[-0.84, -1.18, 1.98] -> [-125.45, -17.28, 77.28, -77.28, 0.00]
[1.22, -0.41, 1.01] -> [-18.58, -66.38, 46.35, -46.35, 0.00]
[-1.57, 0.27, -0.36] -> [170.24, -77.61, 105.75, -105.75, 0.00]
[0.9, -0.11, 1.33] -> [-6.97, -56.56, 26.88, -26.88, 0.00]
[0.64, -0.65, 0.04] -> [-45.44, -112.12, 48.68, -48.68, 0.00]
[-0.6, 0.17, -0.56] -> [164.18, -122.05, 72.32, -72.32, 0.00]
[-1.21, -0.35, 0.98] -> [-163.87, -68.58, 44.65, -44.65, 0.00]
[1.06, 0.16, 1.23] -> [8.58, -60.54, 34.70, -34.70, 0.00]
[-0.77, -0.34, -1.03] -> [-156.18, -99.40, 116.16, -116.16, 0.00]
[-0.87, -0.65, 1.04] -> [-143.24, -70.83, 34.12, -34.12, 0.00]
[-0.6, -1.08, 0.21] -> [-119.05, -93.70, 57.79, -57.79, 0.00]
[0.12, 0.02, -0.02] -> [9.46, -157.91, 30.57, -30.57, 0.00]
[-0.88, 0.84, 1.48] -> [136.33, -44.64, 47.65, -47.65, 0.00]
[0.34, -1.32, -0.91] -> [-75.56, -77.08, 134.81, -134.81, 0.00]
[-1.76, -0.33, -0.12] -> [-169.38, -68.31, 107.42, -107.42, 0.00]
[-1.14, -1.98, 1.66] -> [-119.93, -3.99, 139.79, -139.79, 0.00]
[0.53, -1.44, -0.62] -> [-69.79, -76.59, 119.92, -119.92, 0.00]
[1.72, -0.33, 1.99] -> [-10.86, -11.42, 98.21, -98.21, 0.00]
[-0.97, -0.49, -1.06] -> [-153.20, -86.05, 132.28, -132.28, 0.00]
[-0.52, -0.86, 1.77] -> [-121.16, -30.02, 45.04, -45.04, 0.00]
[-1.54, 1.17, 1.81] -> [142.77, -14.30, 105.96, -105.96, 0.00]
[-1.02, -0.74, -0.44] -> [-144.04, -93.84, 89.94, -89.94, 0.00]
[1.02, -1.76, 0.13] -> [-59.91, -54.26, 117.79, -117.79, 0.00]
[0.03, -0.72, 1.7] -> [-87.61, -31.22, 29.23, -29.23, 0.00]
[-0.89, 1.59, 1.09] -> [119.24, -45.71, 82.93, -82.93, 0.00]
[1.59, 0.88, 0.37] -> [28.96, -63.75, 90.75, -90.75, 0.00]
[1.03, -0.48, 1.17] -> [-24.99, -62.56, 37.87, -37.87, 0.00]
[-1.73, 1.41, 1.2] -> [140.82, -24.38, 121.01, -121.01, 0.00]
[-1.24, -1.74, 0.23] -> [-125.48, -47.50, 124.64, -124.64, 0.00]
[-0.98, -0.2, -0.62] -> [-168.47, -103.73, 89.17, -89.17, 0.00]
[-0.3, 1.46, 0.87] -> [101.61, -65.11, 59.75, -59.75, 0.00]
[-0.15, -1.47, -0.8] -> [-95.83, -74.50, 132.24, -132.24, 0.00]
[0.64, 1.02, 0.83] -> [57.89, -77.06, 41.96, -41.96, 0.00]
[0.06, -0.56, 1.0] -> [-83.88, -88.19, 3.62, -3.62, 0.00]
[1.8, -1.35, 1.2] -> [-36.87, -23.35, 123.15, -123.15, 0.00]
[0.19, -1.7, 1.16] -> [-83.62, -47.14, 75.04, -75.04, 0.00]
[-1.06, -0.96, 0.82] -> [-137.83, -69.09, 56.16, -56.16, 0.00]
[1.04, -1.68, 0.93] -> [-58.24, -44.42, 95.22, -95.22, 0.00]
[-1.7, 0.35, 0.7] -> [168.37, -60.70, 78.20, -78.20, 0.00]
[-1.78, -0.24, -0.15] -> [-172.32, -67.91, 109.44, -109.44, 0.00]
[-1.15, -1.52, -0.39] -> [-127.11, -57.74, 136.72, -136.72, 0.00]
[0.41, -0.16, -0.11] -> [-21.32, -138.07, 40.61, -40.61, 0.00]
[0.99, -0.09, 0.17] -> [-5.19, -106.44, 46.85, -46.85, 0.00]
[-1.07, 0.79, 1.44] -> [143.56, -44.92, 53.55, -53.55, 0.00]
[-0.15, 1.25, 1.69] -> [96.84, -33.38, 55.79, -55.79, 0.00]
[-0.73, -1.19, 0.37] -> [-121.53, -83.24, 62.10, -62.10, 0.00]
[-0.6, -1.76, 0.14] -> [-108.82, -64.07, 101.49, -101.49, 0.00]
[-0.17, -0.42, 1.74] -> [-112.04, -20.89, 21.19, -21.19, 0.00]
[-1.21, -0.83, -0.65] -> [-145.55, -79.70, 117.30, -117.30, 0.00]
[-0.49, -0.69, -0.85] -> [-125.38, -105.32, 100.20, -100.20, 0.00]
[-1.86, -0.44, 1.97] -> [-166.69, -7.84, 110.51, -110.51, 0.00]
[-0.51, -0.53, -0.73] -> [-133.90, -113.34, 87.25, -87.25, 0.00]
[0.68, 0.01, 1.6] -> [0.84, -36.84, 23.48, -23.48, 0.00]
[-1.19, 0.22, 0.2] -> [169.53, -95.09, 56.76, -56.76, 0.00]
[1.28, 0.75, -0.36] -> [30.37, -83.37, 98.28, -98.28, 0.00]
[0.54, -1.74, -0.25] -> [-72.76, -65.72, 117.46, -117.46, 0.00]
[-1.44, 0.63, 1.36] -> [156.37, -43.30, 67.59, -67.59, 0.00]
[-0.66, -1.37, -0.24] -> [-115.72, -82.22, 93.95, -93.95, 0.00]
[0.4, 0.19, -0.67] -> [25.41, -127.28, 75.74, -75.74, 0.00]
[-0.22, -0.56, 1.99] -> [-111.45, -12.07, 38.45, -38.45, 0.00]
[-0.06, -0.71, 1.82] -> [-94.83, -23.94, 34.09, -34.09, 0.00]
[1.06, -1.11, -0.24] -> [-46.32, -81.49, 94.88, -94.88, 0.00]
[0.13, 0.29, 0.44] -> [65.85, -146.30, 8.25, -8.25, 0.00]
[1.56, 1.69, 1.66] -> [47.29, -2.84, 142.30, -142.30, 0.00]
[0.46, 0.67, -0.54] -> [55.53, -113.81, 76.73, -76.73, 0.00]
[-0.4, 1.52, -0.72] -> [104.74, -71.37, 132.41, -132.41, 0.00]
[-1.78, 1.55, 0.72] -> [138.95, -26.98, 139.57, -139.57, 0.00]
[0.87, 0.46, -0.09] -> [27.87, -108.96, 57.93, -57.93, 0.00]
[-0.19, 1.74, 0.59] -> [96.23, -62.73, 80.91, -80.91, 0.00]
[0.22, -0.4, -0.5] -> [-61.19, -130.80, 64.55, -64.55, 0.00]
[-1.52, -1.81, 0.38] -> [-130.02, -28.34, 152.71, -152.71, 0.00]
[-0.67, 0.85, 0.27] -> [128.25, -100.25, 47.50, -47.50, 0.00]
[-0.49, 1.34, 1.27] -> [110.09, -50.86, 56.86, -56.86, 0.00]
[-0.91, -1.31, 0.97] -> [-124.79, -57.87, 66.41, -66.41, 0.00]
[-0.98, 1.8, 1.22] -> [118.57, -32.55, 102.64, -102.64, 0.00]
[1.24, -0.57, 1.28] -> [-24.69, -51.88, 53.05, -53.05, 0.00]
[-1.38, 0.02, -0.41] -> [179.17, -88.18, 94.87, -94.87, 0.00]
[-1.51, 0.4, 0.9] -> [165.16, -61.48, 64.37, -64.37, 0.00]
[-0.09, 0.18, -0.14] -> [116.57, -150.79, 38.39, -38.39, 0.00]
[0.11, -0.17, -0.25] -> [-57.09, -148.27, 45.06, -45.06, 0.00]
[-1.03, 1.94, 1.8] -> [117.97, -3.23, 133.51, -133.51, 0.00]
[-1.82, -1.38, 1.11] -> [-142.83, -23.95, 126.59, -126.59, 0.00]
[0.21, -1.03, -0.67] -> [-78.48, -100.36, 94.89, -94.89, 0.00]
[0.41, -0.03, -0.97] -> [-4.18, -119.08, 98.26, -98.26, 0.00]
[0.26, 0.9, 0.2] -> [73.89, -109.03, 42.93, -42.93, 0.00]
[-1.26, 0.34, 1.63] -> [164.90, -35.90, 56.66, -56.66, 0.00]
[1.18, 1.23, 1.98] -> [46.19, -12.96, 94.29, -94.29, 0.00]
[1.02, -0.4, -0.11] -> [-21.41, -103.38, 63.99, -63.99, 0.00]
[-0.43, -0.8, 1.34] -> [-118.26, -55.89, 27.17, -27.17, 0.00]
[0.07, 1.92, -0.5] -> [87.91, -52.34, 151.27, -151.27, 0.00]
[1.31, 1.71, 1.68] -> [52.54, -10.90, 123.15, -123.15, 0.00]
[-0.72, 1.73, -0.01] -> [112.60, -63.80, 109.05, -109.05, 0.00]
[-0.95, 1.96, 0.42] -> [115.86, -43.63, 122.56, -122.56, 0.00]
[1.44, -1.75, 0.45] -> [-50.55, -37.29, 132.71, -132.71, 0.00]
[-0.06, 1.85, 1.4] -> [91.86, -33.63, 88.35, -88.35, 0.00]
[1.0, 1.08, -0.74] -> [47.20, -76.96, 125.63, -125.63, 0.00]
[1.52, -1.67, 1.04] -> [-47.69, -27.43, 123.11, -123.11, 0.00]
[-1.14, -1.04, 0.01] -> [-137.63, -80.87, 83.62, -83.62, 0.00]
[-0.38, -1.12, 1.61] -> [-108.74, -38.17, 49.09, -49.09, 0.00]
[-0.24, -0.5, 1.45] -> [-115.64, -44.80, 12.30, -12.30, 0.00]
[-0.42, -0.77, -0.21] -> [-118.61, -114.25, 59.63, -59.63, 0.00]
[-1.81, -1.54, 1.61] -> [-139.61, 2.02, 155.25, -155.25, 0.00]
[-1.34, 1.54, 0.89] -> [131.03, -42.54, 101.10, -101.10, 0.00]
[-0.55, -0.53, -0.31] -> [-136.06, -119.21, 61.09, -61.09, 0.00]
[-0.81, 0.41, 1.69] -> [153.15, -34.09, 37.34, -37.34, 0.00]
[-0.75, -1.73, 1.57] -> [-113.44, -25.88, 94.60, -94.60, 0.00]
[-2.0, 0.62, 1.06] -> [162.78, -35.48, 105.76, -105.76, 0.00]
[-1.11, 0.47, -0.66] -> [157.05, -93.14, 101.75, -101.75, 0.00]
[-0.15, 0.81, -1.21] -> [100.49, -91.24, 136.64, -136.64, 0.00]
[0.42, 0.62, 0.15] -> [55.89, -120.17, 36.89, -36.89, 0.00]
[-1.48, 0.22, 1.78] -> [171.54, -26.05, 72.84, -72.84, 0.00]
[1.75, 0.91, 1.31] -> [27.47, -32.62, 96.89, -96.89, 0.00]
[1.82, -0.94, -0.4] -> [-27.32, -42.23, 164.25, -164.25, 0.00]
[-0.68, 0.27, 1.06] -> [158.34, -78.59, 13.44, -13.44, 0.00]
[-0.04, 0.57, -0.78] -> [94.01, -118.99, 86.43, -86.43, 0.00]
[0.34, -0.19, -1.46] -> [-29.20, -86.55, 168.91, -168.91, 0.00]
[1.55, -1.2, 0.81] -> [-37.75, -48.25, 94.57, -94.57, 0.00]
[-0.17, -0.09, -0.88] -> [-152.10, -130.14, 88.04, -88.04, 0.00]
[0.02, -0.79, 0.41] -> [-88.55, -112.68, 28.14, -28.14, 0.00]
[-0.9, 0.95, -0.78] -> [133.45, -84.96, 117.44, -117.44, 0.00]
[-1.55, -1.13, 1.82] -> [-143.91, -14.38, 104.94, -104.94, 0.00]
[-0.13, 1.0, -0.05] -> [97.41, -107.61, 57.10, -57.10, 0.00]
[0.5, -0.74, 0.53] -> [-55.95, -103.01, 29.50, -29.50, 0.00]
[0.83, 0.89, -0.88] -> [47.00, -86.65, 120.86, -120.86, 0.00]
[-0.48, 0.2, 0.73] -> [157.38, -114.98, 4.92, -4.92, 0.00]
[0.47, 1.36, 0.16] -> [70.94, -84.61, 71.34, -71.34, 0.00]
[-0.59, -0.62, -1.0] -> [-133.58, -99.93, 113.80, -113.80, 0.00]
[0.52, 1.29, -0.61] -> [68.05, -84.71, 108.94, -108.94, 0.00]
[-1.02, 0.82, 1.47] -> [141.20, -43.80, 52.88, -52.88, 0.00]
[0.33, 1.55, 1.68] -> [77.98, -29.02, 75.50, -75.50, 0.00]
[-0.77, -1.71, -0.26] -> [-114.24, -62.29, 123.20, -123.20, 0.00]
[-0.25, -0.96, 1.17] -> [-104.60, -65.61, 29.34, -29.34, 0.00]
[-0.2, -1.67, 1.15] -> [-96.83, -48.44, 72.93, -72.93, 0.00]
[-1.01, -0.75, -0.57] -> [-143.40, -92.19, 98.21, -98.21, 0.00]
[0.62, -0.83, -0.59] -> [-53.24, -102.58, 88.67, -88.67, 0.00]
[-0.79, -1.21, 0.2] -> [-123.14, -83.81, 70.32, -70.32, 0.00]
[1.18, -1.87, 1.58] -> [-57.75, -12.05, 126.50, -126.50, 0.00]
[-0.78, -0.72, 1.79] -> [-137.29, -29.04, 48.61, -48.61, 0.00]
[-0.15, 0.45, -1.39] -> [108.43, -93.24, 151.07, -151.07, 0.00]
[0.06, 1.41, 0.57] -> [87.56, -77.76, 58.37, -58.37, 0.00]
[-0.77, -0.05, 0.77] -> [-176.28, -97.82, 17.55, -17.55, 0.00]
[0.64, 1.95, 0.59] -> [71.83, -48.51, 105.58, -105.58, 0.00]
[-0.19, 0.09, 1.98] -> [154.65, 2.44, 29.09, -29.09, 0.00]
[0.53, 0.6, 0.75] -> [48.54, -97.59, 19.50, -19.50, 0.00]
[1.24, 0.49, 0.06] -> [21.56, -90.74, 68.90, -68.90, 0.00]
[-0.68, -0.98, 0.81] -> [-124.76, -78.32, 41.46, -41.46, 0.00]
[-0.49, -1.73, 1.13] -> [-105.81, -45.22, 81.29, -81.29, 0.00]
[-0.19, -1.54, 1.93] -> [-97.03, -18.18, 81.77, -81.77, 0.00]
[0.64, -0.65, -1.0] -> [-45.44, -97.37, 116.23, -116.23, 0.00]
[-1.14, 1.4, 1.99] -> [129.16, -10.04, 102.43, -102.43, 0.00]
[-0.66, -1.34, 1.85] -> [-116.22, -22.82, 75.08, -75.08, 0.00]
[0.56, -0.02, 0.69] -> [-2.05, -114.93, 8.05, -8.05, 0.00]
[1.39, 0.67, 0.15] -> [25.73, -79.74, 78.22, -78.22, 0.00]
[1.37, -0.38, 0.64] -> [-15.50, -75.31, 57.80, -57.80, 0.00]
[-0.32, 1.66, -0.38] -> [100.91, -71.96, 114.52, -114.52, 0.00]
[1.05, -0.27, -0.12] -> [-14.42, -103.97, 63.93, -63.93, 0.00]
[-1.55, -0.07, 0.72] -> [-177.41, -67.66, 65.14, -65.14, 0.00]
[-2.0, -0.3, 1.43] -> [-171.47, -26.39, 103.22, -103.22, 0.00]
[1.67, 1.37, 1.81] -> [39.36, -4.83, 129.23, -129.23, 0.00]
[-1.46, 0.01, 0.7] -> [179.61, -71.92, 59.37, -59.37, 0.00]
[-1.12, -1.56, 1.72] -> [-125.68, -18.60, 101.70, -101.70, 0.00]
[-0.2, -1.46, 0.77] -> [-97.80, -69.15, 59.44, -59.44, 0.00]
[0.75, -1.32, 0.48] -> [-60.40, -75.38, 67.06, -67.06, 0.00]
[-0.56, 0.54, 0.45] -> [136.04, -112.18, 26.17, -26.17, 0.00]
[-0.07, 0.42, 1.3] -> [99.46, -54.23, 1.20, -1.20, 0.00]
[0.3, -0.85, 0.03] -> [-70.56, -112.76, 48.67, -48.67, 0.00]
[-0.56, -0.94, 0.65] -> [-120.78, -88.81, 37.86, -37.86, 0.00]
[-0.53, -1.95, 1.37] -> [-105.21, -28.62, 102.00, -102.00, 0.00]
[0.44, 1.8, 0.03] -> [76.26, -64.90, 105.46, -105.46, 0.00]
[-0.97, 1.07, 1.99] -> [132.19, -16.85, 77.44, -77.44, 0.00]
[-0.66, -0.13, -0.67] -> [-168.86, -117.50, 81.11, -81.11, 0.00]
[0.61, -1.16, 0.77] -> [-62.26, -75.41, 49.08, -49.08, 0.00]
[-1.02, -0.27, 1.89] -> [-165.17, -23.74, 52.23, -52.23, 0.00]
[0.74, -1.49, 0.88] -> [-63.59, -58.39, 71.46, -71.46, 0.00]
[0.99, -1.9, 0.29] -> [-62.48, -46.87, 122.93, -122.93, 0.00]
[1.31, -1.44, 1.56] -> [-47.71, -24.24, 99.43, -99.43, 0.00]
[1.25, -1.08, 1.53] -> [-40.83, -34.08, 76.26, -76.26, 0.00]
[0.22, 0.81, -1.28] -> [74.80, -85.04, 149.50, -149.50, 0.00]
[-1.31, 0.1, 1.73] -> [175.63, -30.84, 60.20, -60.20, 0.00]
[-0.54, 0.37, 0.16] -> [145.58, -125.66, 32.82, -32.82, 0.00]
[1.05, -0.2, -1.1] -> [-10.78, -84.87, 136.31, -136.31, 0.00]
[-0.7, 0.59, 2.0] -> [139.87, -17.14, 50.67, -50.67, 0.00]
[1.65, -0.63, -0.11] -> [-20.90, -69.68, 104.94, -104.94, 0.00]
[-1.47, 0.3, -0.08] -> [168.47, -83.35, 84.80, -84.80, 0.00]
[-0.8, 1.26, -0.74] -> [122.41, -75.71, 127.33, -127.33, 0.00]
[-0.18, 0.72, -0.31] -> [104.04, -120.28, 60.37, -60.37, 0.00]
[-1.45, -1.29, 0.71] -> [-138.34, -51.51, 93.97, -93.97, 0.00]
[0.31, -1.9, 0.77] -> [-80.73, -50.81, 92.01, -92.01, 0.00]
[1.62, 0.86, 0.84] -> [27.96, -52.88, 84.22, -84.22, 0.00]
[-1.58, -1.92, 1.14] -> [-129.45, -2.38, 168.80, -168.80, 0.00]
[-1.05, 1.88, 0.89] -> [119.18, -37.02, 111.80, -111.80, 0.00]
[1.6, -1.54, 1.96] -> [-43.91, 7.05, 147.34, -147.34, 0.00]
[-0.03, 0.13, 0.33] -> [102.99, -163.48, 10.51, -10.51, 0.00]
[-0.94, 0.99, 0.29] -> [133.52, -86.19, 62.58, -62.58, 0.00]
[1.33, -1.75, 1.49] -> [-52.77, -16.27, 122.33, -122.33, 0.00]
[1.3, 1.22, -0.75] -> [43.18, -46.91, 175.11, -175.11, 0.00]
[0.21, -1.88, 1.43] -> [-83.63, -31.14, 92.10, -92.10, 0.00]
[-0.58, -1.05, 0.18] -> [-118.92, -95.90, 56.92, -56.92, 0.00]
[-1.5, 1.61, 1.53] -> [132.97, -14.61, 123.70, -123.70, 0.00]
[-0.87, -0.52, 0.6] -> [-149.13, -94.39, 34.29, -34.29, 0.00]
[0.34, 1.24, 0.71] -> [74.67, -78.57, 48.29, -48.29, 0.00]
[0.51, 1.35, 0.94] -> [69.30, -64.20, 56.35, -56.35, 0.00]
[0.18, 1.41, -0.94] -> [82.72, -71.50, 144.54, -144.54, 0.00]
[1.28, -1.17, 0.69] -> [-42.43, -61.02, 78.22, -78.22, 0.00]
[-1.5, -1.77, 1.1] -> [-130.28, -21.87, 131.32, -131.32, 0.00]
[0.21, -1.31, 0.07] -> [-80.89, -90.97, 68.13, -68.13, 0.00]
[1.03, -0.47, -0.66] -> [-24.53, -96.71, 97.99, -97.99, 0.00]
[1.8, 1.0, 0.52] -> [29.05, -49.30, 107.64, -107.64, 0.00]
[-1.08, 0.09, 0.69] -> [175.24, -87.69, 36.55, -36.55, 0.00]
[-0.06, 0.67, -0.08] -> [95.12, -125.37, 45.43, -45.43, 0.00]
[0.45, -0.11, 0.05] -> [-13.74, -137.84, 32.34, -32.34, 0.00]
[1.15, 0.27, -0.04] -> [13.21, -98.89, 64.95, -64.95, 0.00]
[1.62, -0.69, 0.26] -> [-23.07, -67.97, 89.66, -89.66, 0.00]
[-0.9, 1.45, 0.8] -> [121.83, -59.16, 75.05, -75.05, 0.00]
[-0.69, 1.23, -0.25] -> [119.29, -87.74, 87.62, -87.62, 0.00]
[-0.16, -1.08, 0.88] -> [-98.43, -78.86, 34.82, -34.82, 0.00]
[-0.56, 0.39, 0.94] -> [145.15, -89.72, 10.62, -10.62, 0.00]
[-0.21, -0.3, 0.44] -> [-124.99, -141.97, 9.70, -9.70, 0.00]
[0.7, -0.01, -0.55] -> [-0.82, -118.80, 73.79, -73.79, 0.00]
[-0.32, 0.08, -0.4] -> [165.96, -138.76, 55.96, -55.96, 0.00]
[-0.24, -1.26, 0.19] -> [-100.78, -91.71, 61.13, -61.13, 0.00]
[0.61, 1.48, 1.85] -> [67.60, -21.02, 82.03, -82.03, 0.00]
[1.55, 0.36, 1.19] -> [13.08, -49.74, 66.91, -66.91, 0.00]
[0.97, 0.61, 1.08] -> [32.16, -67.08, 37.85, -37.85, 0.00]
[-1.14, -0.17, 0.47] -> [-171.52, -92.09, 45.20, -45.20, 0.00]
[-0.9, 1.52, 1.63] -> [120.63, -26.92, 86.90, -86.90, 0.00]
[-0.19, 1.62, 0.77] -> [96.69, -63.02, 70.01, -70.01, 0.00]
[-0.82, -1.91, 1.26] -> [-113.23, -29.99, 105.76, -105.76, 0.00]
[1.63, -1.54, 0.42] -> [-43.37, -39.26, 130.49, -130.49, 0.00]
[1.54, 1.53, -0.04] -> [44.81, -43.13, 144.94, -144.94, 0.00]
[0.64, -0.27, 1.52] -> [-22.87, -42.59, 21.19, -21.19, 0.00]
[-1.19, 1.33, 1.71] -> [131.82, -23.04, 90.53, -90.53, 0.00]
[-0.04, -0.55, -0.72] -> [-94.16, -121.45, 81.55, -81.55, 0.00]
[-1.32, -1.86, 1.73] -> [-125.36, -0.92, 142.66, -142.66, 0.00]
[-0.61, 0.18, -0.81] -> [163.56, -115.47, 90.35, -90.35, 0.00]
[-0.24, -0.43, -0.65] -> [-119.17, -125.72, 75.32, -75.32, 0.00]
[1.2, -1.16, -0.83] -> [-44.03, -56.37, 162.53, -162.53, 0.00]
[0.81, 1.33, -0.49] -> [58.66, -77.88, 111.71, -111.71, 0.00]
[1.95, 0.07, 0.3] -> [2.06, -57.87, 103.72, -103.72, 0.00]
